#Parameters = {Tested_Perm=40; E_r=3.55; Gap=2; Height=1; In_Rad=4.2; Sub_Thick=1.4; Width=2}
#"Frequency / GHz"	"S1,1 (Tested_Perm=40) [Magnitude]"
#-----------------------------------------------------
0.00000000000000	-90.870469762099
0.010000000000000	-56.950480155505
0.020000000000000	-50.875754767828
0.030000000000000	-47.333105559130
0.040000000000000	-44.822122223923
0.050000000000000	-42.875368697893
0.060000000000000	-41.285190777630
0.070000000000000	-39.940993543077
0.080000000000000	-38.776831352368
0.090000000000000	-37.750200550439
0.10000000000000	-36.832097089281
0.11000000000000	-36.001843421468
0.12000000000000	-35.244178116530
0.13000000000000	-34.547515506668
0.14000000000000	-33.902852684497
0.15000000000000	-33.303054804271
0.16000000000000	-32.742371685507
0.17000000000000	-32.216101325324
0.18000000000000	-31.720349799744
0.19000000000000	-31.251856208610
0.20000000000000	-30.807862602124
0.21000000000000	-30.386015694611
0.22000000000000	-29.984291476772
0.23000000000000	-29.600936608868
0.24000000000000	-29.234422303015
0.25000000000000	-28.883407631228
0.26000000000000	-28.546710038108
0.27000000000000	-28.223281424726
0.28000000000000	-27.912188586623
0.29000000000000	-27.612597088161
0.30000000000000	-27.323757873559
0.31000000000000	-27.044996075664
0.32000000000000	-26.775701603456
0.33000000000000	-26.515321179600
0.34000000000000	-26.263351568127
0.35000000000000	-26.019333785102
0.36000000000000	-25.782848126030
0.37000000000000	-25.553509875661
0.38000000000000	-25.330965590952
0.39000000000000	-25.114889867822
0.40000000000000	-24.904982518197
0.41000000000000	-24.700966096539
0.42000000000000	-24.502583725342
0.43000000000000	-24.309597177372
0.44000000000000	-24.121785179280
0.45000000000000	-23.938941906718
0.46000000000000	-23.760875645764
0.47000000000000	-23.587407599192
0.48000000000000	-23.418370819333
0.49000000000000	-23.253609251900
0.50000000000000	-23.092976877343
0.51000000000000	-22.940075047835
0.52000000000000	-22.791037970812
0.53000000000000	-22.645745637276
0.54000000000000	-22.504085417055
0.55000000000000	-22.365951543247
0.56000000000000	-22.231244644298
0.57000000000000	-22.099871318702
0.58000000000000	-21.971743747933
0.59000000000000	-21.846779343769
0.60000000000000	-21.724900426582
0.61000000000000	-21.606033931610
0.62000000000000	-21.490111140554
0.63000000000000	-21.377067436135
0.64000000000000	-21.266842077540
0.65000000000000	-21.159377994883
0.66000000000000	-21.054621601043
0.67000000000000	-20.952522619399
0.68000000000000	-20.853033926154
0.69000000000000	-20.756111406076
0.70000000000000	-20.661713820604
0.71000000000000	-20.569802687396
0.72000000000000	-20.480342170474
0.73000000000000	-20.393298980228
0.74000000000000	-20.308642282610
0.75000000000000	-20.226343616937
0.76000000000000	-20.146376821757
0.77000000000000	-20.068717968331
0.78000000000000	-19.993345301317
0.79000000000000	-19.920239186280
0.80000000000000	-19.849382063735
0.81000000000000	-19.780758409427
0.82000000000000	-19.714354700643
0.83000000000000	-19.650159388334
0.84000000000000	-19.588162874906
0.85000000000000	-19.528357497556
0.86000000000000	-19.470737517046
0.87000000000000	-19.415299111869
0.88000000000000	-19.362040377776
0.89000000000000	-19.310961332662
0.90000000000000	-19.262063926843
0.91000000000000	-19.215352058798
0.92000000000000	-19.170831596458
0.93000000000000	-19.128510404189
0.94000000000000	-19.088398375618
0.95000000000000	-19.050507472501
0.96000000000000	-19.014851769886
0.97000000000000	-18.981447507832
0.98000000000000	-18.950313150012
0.99000000000000	-18.921469449563
1.0000000000000	-18.894939522612
1.0100000000000	-18.870226742311
1.0200000000000	-18.847878009716
1.0300000000000	-18.827923829814
1.0400000000000	-18.810397437811
1.0500000000000	-18.795334918357
1.0600000000000	-18.782775336217
1.0700000000000	-18.772760879329
1.0800000000000	-18.765337015290
1.0900000000000	-18.760552662447
1.1000000000000	-18.758460376894
1.1100000000000	-18.759116556865
1.1200000000000	-18.762581666149
1.1300000000000	-18.768920478407
1.1400000000000	-18.778202344449
1.1500000000000	-18.790501484852
1.1600000000000	-18.805897310535
1.1700000000000	-18.824474774314
1.1800000000000	-18.846324756821
1.1900000000000	-18.871544490623
1.2000000000000	-18.900238026935
1.2100000000000	-18.932516749906
1.2200000000000	-18.968499944155
1.2300000000000	-19.008315422107
1.2400000000000	-19.052100218573
1.2500000000000	-19.100001361213
1.2600000000000	-19.152176726803
1.2700000000000	-19.208795994800
1.2800000000000	-19.270041711571
1.2900000000000	-19.336110480827
1.3000000000000	-19.407214298436
1.3100000000000	-19.483582052932
1.3200000000000	-19.565461216808
1.3300000000000	-19.653119758254
1.3400000000000	-19.746848308501
1.3500000000000	-19.846962626729
1.3600000000000	-19.953806412704
1.3700000000000	-20.067754527527
1.3800000000000	-20.189216695461
1.3900000000000	-20.318641775532
1.4000000000000	-20.456522711267
1.4100000000000	-20.603402291820
1.4200000000000	-20.759879889322
1.4300000000000	-20.926619377731
1.4400000000000	-21.104358490743
1.4500000000000	-21.293919944237
1.4600000000000	-21.496224738103
1.4700000000000	-21.712308170709
1.4800000000000	-21.943339258061
1.4900000000000	-22.190644464875
1.5000000000000	-22.455736950058
1.5100000000000	-22.740033993165
1.5200000000000	-23.045837594908
1.5300000000000	-23.375475789187
1.5400000000000	-23.731677121591
1.5500000000000	-24.117667564345
1.5600000000000	-24.537298651912
1.5700000000000	-24.995219741819
1.5800000000000	-25.497113990726
1.5900000000000	-26.050028597119
1.6000000000000	-26.662848444786
1.6100000000000	-27.346995017080
1.6200000000000	-28.117492750692
1.6300000000000	-28.994662057668
1.6400000000000	-30.006940248301
1.6500000000000	-31.195871849096
1.6600000000000	-32.625637892340
1.6700000000000	-34.403193496752
1.6800000000000	-36.727308351222
1.6900000000000	-40.036773196079
1.7000000000000	-45.667057390586
1.7100000000000	-60.640198281745
1.7200000000000	-45.980716651838
1.7300000000000	-39.770804019113
1.7400000000000	-36.073104183850
1.7500000000000	-33.411095365270
1.7600000000000	-31.316045656482
1.7700000000000	-29.579050184113
1.7800000000000	-28.088784353191
1.7900000000000	-26.778878424988
1.8000000000000	-25.606573496199
1.8100000000000	-24.542707153829
1.8200000000000	-23.566502047017
1.8300000000000	-22.662634261093
1.8400000000000	-21.819480686265
1.8500000000000	-21.028018652029
1.8600000000000	-20.281106674793
1.8700000000000	-19.572998178609
1.8800000000000	-18.899003153784
1.8900000000000	-18.255246858979
1.9000000000000	-17.638493995374
1.9100000000000	-17.046018150236
1.9200000000000	-16.475503225530
1.9300000000000	-15.924967903659
1.9400000000000	-15.392706992825
1.9500000000000	-14.877245332371
1.9600000000000	-14.377301174752
1.9700000000000	-13.891756808134
1.9800000000000	-13.419634774534
1.9900000000000	-12.960078456891
2.0000000000000	-12.512336109134
2.0100000000000	-12.075686734382
2.0200000000000	-11.649622350701
2.0300000000000	-11.233633641364
2.0400000000000	-10.827274874238
2.0500000000000	-10.430157191214
2.0600000000000	-10.041942847345
2.0700000000000	-9.6623402249997
